"";"sample";"Pb208207";"Pb208207.U";"Pb206207";"Pb206207.U";"Pb208206";"Pb208206.U";"Pb207206";"Pb207206.U";"year"
"53";"GB34-10";2,39424466441125;0,0146683221879766;1,13425987519399;0,00674711961160478;2,11138788813904;0,00942507268194167;0,881945047985488;0,00537623964555148;"2010"
"54";"GB23-10";2,44208798520496;0,00788761962080674;1,18207422822636;0,00407377210394092;2,06735963884116;0,00389488585717098;0,845984459264408;0,00299844856357745;"2010"
"55";"GB27-10";2,44076231926452;0,00980253099655489;1,17266437659163;0,0046044110403018;2,08243964741964;0,0071237926368382;0,852783730692221;0,00345235940403116;"2010"
"56";"GB29-10";2,42402754565385;0,00911386815774548;1,16404274817823;0,00427020041320353;2,08272957618845;0,0108798503064144;0,859095115261434;0,00324025898613018;"2010"
"57";"GB18-10";2,40744510913936;0,0114422042978943;1,1501038052161;0,00754053746780347;2,09399019974178;0,0117724733167854;0,869583525927556;0,00584654959104117;"2010"
"58";"GB22-10";2,42803783653244;0,00994993837592057;1,16498867719854;0,00474187071048552;2,09473551402569;0,012055361168013;0,858405706130022;0,00359283717891438;"2010"
"59";"GB26-10";2,39888130530458;0,00751377098209869;1,15351168158554;0,00496066305686329;2,08787492893171;0,012949868042652;0,866954854918075;0,00384575790341242;"2010"
"60";"GB06-13";2,42983926303314;0,00523087627579641;1,1532755511535;0,0024685678348342;2,10547434376842;0,00511939846742416;0,867097810732805;0,00190963525914089;"2013"
"61";"GB03-13";2,41342203042323;0,0127399430987948;1,15442850040472;0,00854715782981091;2,09436378240279;0,0127888139758762;0,866356430830489;0,00658634909989734;"2013"
"62";"GB01-13";2,43895107323536;0,00675934720489121;1,16041628987172;0,00282367093169827;2,10021795287334;0,00539625621432299;0,86176699917878;0,00215216955981653;"2013"
"63";"GB05-13";2,43273372063662;0,00836164372087823;1,16056495793563;0,00351844177660594;2,0962229867637;0,00591102029194683;0,861663030978348;0,00268023902572847;"2013"
"64";"GB07-13";2,44211852478281;0,005233237185878;1,16001876299241;0,00309688037196846;2,10530036816268;0,00346480888191081;0,862063723382233;0,00236105589060174;"2013"
"65";"GB02-13";2,44161035414625;0,0043176865592111;1,1574714603794;0,00274182422158435;2,10866040848667;0,00334560606974177;0,863957227117598;0,00210173855338343;"2013"
"66";"GB04-13";2,44182271605518;0,00922053972362534;1,1618041758467;0,00119565793664834;2,10392469773402;0,00388776949929643;0,860725318237107;0,000889681513212413;"2013"
"67";"GB25-13";2,43449204259562;0,00778817599555689;1,17592383387092;0,00528797049515673;2,06981822781551;0,00970988238740643;0,850432723655477;0,00396294406782443;"2013"
"68";"GB10-13";2,44659514800076;0,00893652513470517;1,16656418415706;0,00166540668751933;2,09372352872883;0,00662507554930786;0,857211306578117;0,00123050644738863;"2013"
"69";"GB22-13";2,42376739647324;0,0150845260542729;1,15951170906449;0,00798649424630139;2,09046988335738;0,0130984572854602;0,862536356122647;0,00611447756732087;"2013"
"70";"GB19-13";2,43447694863985;0,00662183123077718;1,16457875968391;0,00254763060295436;2,08995554178552;0,00313078391406766;0,858675573026608;0,00192161350919695;"2013"
"71";"GB08-13";2,42622558157184;0,00617900015010032;1,15449486382449;0,00287136157880329;2,10328429706689;0,00515742621433458;0,866180732754924;0,0022080277097303;"2013"
"72";"GB18-13";2,42041352053007;0,00980233995192586;1,15914770794631;0,00675110279129327;2,08833568398425;0,00898457087144963;0,862857721124855;0,00516059824961361;"2013"
"73";"GB28-13";2,41331647032861;0,00432757832340637;1,14618264793766;0,0023540135445991;2,10502245881498;0,00292676006349769;0,872461099021677;0,00183281008097618;"2013"
"74";"GB11-13";2,43180001570508;0,0078478368977888;1,155320608519;0,00410967081704963;2,10438402219408;0,00520092278807066;0,865581288406937;0,00318493947512204;"2013"
"75";"GB12-13";2,40620079008153;0,0148603357868976;1,14322316954804;0,00688591909294558;2,09975151948062;0,0112620323228616;0,872916140069404;0,00630857150733474;"2013"
"76";"GB20-13";2,43170730076181;0,0069027757465522;1,15990603998715;0,00520104681384407;2,09606926432291;0,00732717224110117;0,862175746433985;0,00399569800128519;"2013"
"77";"GB17-13";2,44215349305059;0,00485707950737304;1,16848362543;0,00380504212466924;2,08615305649045;0,00701667213475073;0,855821592869975;0,00287290812501754;"2013"
"78";"GB33-13";2,42370681552008;0,00956663927118402;1,15598995605889;0,00514777781414551;2,09582179217018;0,0045805262572901;0,863647201414919;0,00464733109359211;"2013"
"79";"GB15-13";2,43641750512686;0,00596131983770611;1,1529804270072;0,00459680767100743;2,11315710622007;0,00822193011394163;0,86734487484673;0,00357657436815882;"2013"
"80";"GB21-13";2,42152931500707;0,00781378796171747;1,1573401979502;0,00670021690488688;2,0959347084356;0,00658839690861279;0,864121105791654;0,00519090114526597;"2013"
"81";"GB29-13";2,38678592499382;0,0103537942241891;1,14432338224434;0,0102994385526832;2,09426360124795;0,0100675614977179;0,874070757009604;0,00808240944611476;"2013"
"82";"GB16-13";2,42706129829954;0,00585079611586975;1,15458362311389;0,0034679949106681;2,09948627039528;0,00595985085739517;0,866125402988469;0,00267988892985797;"2013"
