Analyte,Mass,Meas. Intensity,,
Pb,206,202722.771,,
Pb,207,190211.326,,
Pb,208,464568.044,,
Analyte,Mass,Meas. Intensity,,
Pb,206,203744.06,,
Pb,207,190531.411,,
Pb,208,464289.86,,
Analyte,Mass,Meas. Intensity,,
Pb,206,204820.363,,
Pb,207,191811.752,,
Pb,208,467930.234,,
Analyte,Mass,Meas. Intensity,,
Pb,206,206810.941,,
Pb,207,191552.686,,
Pb,208,470821.142,,
Analyte,Mass,Meas. Intensity,,
Pb,206,206231.77,,
Pb,207,191352.632,,
Pb,208,469622.336,,
Sample ID:,CRM482_1a40,,,
Sample Date/Time:,"Monday, November 30, 2015 12:31:31",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,222974,1.867
  ,Pb,207,201318,1.851
  ,Pb,208,501220,1.734
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,231991.677,,
Pb,207,210328.967,,
Pb,208,518851.395,,
Analyte,Mass,Meas. Intensity,,
Pb,206,228809.648,,
Pb,207,204772.35,,
Pb,208,516118.421,,
Analyte,Mass,Meas. Intensity,,
Pb,206,226399.883,,
Pb,207,204390.246,,
Pb,208,507321.121,,
Analyte,Mass,Meas. Intensity,,
Pb,206,222972.807,,
Pb,207,201991.567,,
Pb,208,502221.564,,
Analyte,Mass,Meas. Intensity,,
Pb,206,223820.067,,
Pb,207,201885.53,,
Pb,208,500409.248,,
Analyte,Mass,Meas. Intensity,,
Pb,206,222542.666,,
Pb,207,201079.304,,
Pb,208,499962.934,,
Analyte,Mass,Meas. Intensity,,
Pb,206,221429.322,,
Pb,207,199598.892,,
Pb,208,498791.117,,
Analyte,Mass,Meas. Intensity,,
Pb,206,219689.783,,
Pb,207,197750.373,,
Pb,208,493137.18,,
Analyte,Mass,Meas. Intensity,,
Pb,206,219650.772,,
Pb,207,199617.895,,
Pb,208,494351.03,,
Analyte,Mass,Meas. Intensity,,
Pb,206,219629.764,,
Pb,207,198245.51,,
Pb,208,495414.764,,
Analyte,Mass,Meas. Intensity,,
Pb,206,218552.435,,
Pb,207,197676.352,,
Pb,208,492918.057,,
Analyte,Mass,Meas. Intensity,,
Pb,206,220197.942,,
Pb,207,198475.573,,
Pb,208,495147.578,,
Sample ID:,SRM981_QC,,,
Sample Date/Time:,"Monday, November 30, 2015 12:45:42",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,196896,1.974
  ,Pb,207,183886,1.738
  ,Pb,208,450741,1.851
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,204560.294,,
Pb,207,190231.33,,
Pb,208,467598.02,,
Analyte,Mass,Meas. Intensity,,
Pb,206,202431.684,,
Pb,207,188429.852,,
Pb,208,460994.728,,
Analyte,Mass,Meas. Intensity,,
Pb,206,200550.155,,
Pb,207,187011.486,,
Pb,208,458222.951,,
Analyte,Mass,Meas. Intensity,,
Pb,206,199549.875,,
Pb,207,185139.993,,
Pb,208,457581.536,,
Analyte,Mass,Meas. Intensity,,
Pb,206,196287.969,,
Pb,207,184154.742,,
Pb,208,451836.883,,
Analyte,Mass,Meas. Intensity,,
Pb,206,194561.504,,
Pb,207,180826.889,,
Pb,208,443403.613,,
Analyte,Mass,Meas. Intensity,,
Pb,206,194392.454,,
Pb,207,182479.311,,
Pb,208,447684.303,,
Analyte,Mass,Meas. Intensity,,
Pb,206,194785.559,,
Pb,207,182143.222,,
Pb,208,443250.505,,
Analyte,Mass,Meas. Intensity,,
Pb,206,195666.799,,
Pb,207,182231.249,,
Pb,208,444066.024,,
Analyte,Mass,Meas. Intensity,,
Pb,206,193309.163,,
Pb,207,180274.758,,
Pb,208,444332.221,,
Analyte,Mass,Meas. Intensity,,
Pb,206,193447.195,,
Pb,207,182748.378,,
Pb,208,445559.928,,
Analyte,Mass,Meas. Intensity,,
Pb,206,193214.132,,
Pb,207,180964.928,,
Pb,208,444363.189,,
Sample ID:,SRM981_1a20,,,
Sample Date/Time:,"Monday, November 30, 2015 13:02:53",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,276557,0.953
  ,Pb,207,257684,1.11
  ,Pb,208,632082,0.879
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,277611.939,,
Pb,207,257138.278,,
Pb,208,636543.529,,
Analyte,Mass,Meas. Intensity,,
Pb,206,274397.704,,
Pb,207,255814.808,,
Pb,208,628848.707,,
Analyte,Mass,Meas. Intensity,,
Pb,206,277002.705,,
Pb,207,256380.005,,
Pb,208,628564.479,,
Analyte,Mass,Meas. Intensity,,
Pb,206,273741.447,,
Pb,207,256015.877,,
Pb,208,622907.511,,
Analyte,Mass,Meas. Intensity,,
Pb,206,274588.782,,
Pb,207,254867.478,,
Pb,208,628430.396,,
Analyte,Mass,Meas. Intensity,,
Pb,206,274493.74,,
Pb,207,256881.186,,
Pb,208,629800.553,,
Analyte,Mass,Meas. Intensity,,
Pb,206,273510.359,,
Pb,207,255133.564,,
Pb,208,629721.493,,
Analyte,Mass,Meas. Intensity,,
Pb,206,274451.718,,
Pb,207,255069.535,,
Pb,208,627617.647,,
Analyte,Mass,Meas. Intensity,,
Pb,206,279417.655,,
Pb,207,259542.153,,
Pb,208,635361.501,,
Analyte,Mass,Meas. Intensity,,
Pb,206,279707.762,,
Pb,207,260328.436,,
Pb,208,636542.538,,
Analyte,Mass,Meas. Intensity,,
Pb,206,280350.01,,
Pb,207,263636.651,,
Pb,208,641377.852,,
Analyte,Mass,Meas. Intensity,,
Pb,206,279413.663,,
Pb,207,261405.832,,
Pb,208,639264.009,,
Sample ID:,C6_magg1250_1a20,,,
Sample Date/Time:,"Monday, November 30, 2015 13:17:05",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,408800,3.74
  ,Pb,207,338477,3.518
  ,Pb,208,874069,3.573
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,383667.028,,
Pb,207,319686.529,,
Pb,208,827001.52,,
Analyte,Mass,Meas. Intensity,,
Pb,206,388459.619,,
Pb,207,322080.605,,
Pb,208,832031.352,,
Analyte,Mass,Meas. Intensity,,
Pb,206,394176.743,,
Pb,207,327450.044,,
Pb,208,846635.479,,
Analyte,Mass,Meas. Intensity,,
Pb,206,399207.55,,
Pb,207,329992.222,,
Pb,208,848637.95,,
Analyte,Mass,Meas. Intensity,,
Pb,206,401214.671,,
Pb,207,332696.468,,
Pb,208,855331.851,,
Analyte,Mass,Meas. Intensity,,
Pb,206,407198.044,,
Pb,207,337266.612,,
Pb,208,872077.074,,
Analyte,Mass,Meas. Intensity,,
Pb,206,413568.727,,
Pb,207,342816.263,,
Pb,208,884726.708,,
Analyte,Mass,Meas. Intensity,,
Pb,206,419593.213,,
Pb,207,345947.76,,
Pb,208,892684.499,,
Analyte,Mass,Meas. Intensity,,
Pb,206,422471.906,,
Pb,207,349102.295,,
Pb,208,903783.457,,
Analyte,Mass,Meas. Intensity,,
Pb,206,422445.893,,
Pb,207,349301.392,,
Pb,208,901989.221,,
Analyte,Mass,Meas. Intensity,,
Pb,206,426793.48,,
Pb,207,352181.805,,
Pb,208,912168.117,,
Analyte,Mass,Meas. Intensity,,
Pb,206,426808.506,,
Pb,207,353202.317,,
Pb,208,911758.665,,
Sample ID:,SRM981_1a20,,,
Sample Date/Time:,"Monday, November 30, 2015 13:30:54",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,349164,2.642
  ,Pb,207,324809,2.594
  ,Pb,208,793440,2.681
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,340936.352,,
Pb,207,316983.329,,
Pb,208,773362.45,,
Analyte,Mass,Meas. Intensity,,
Pb,206,341518.634,,
Pb,207,317631.609,,
Pb,208,777235.669,,
Analyte,Mass,Meas. Intensity,,
Pb,206,339187.519,,
Pb,207,315951.869,,
Pb,208,771553.501,,
Analyte,Mass,Meas. Intensity,,
Pb,206,341498.619,,
Pb,207,317905.738,,
Pb,208,771834.822,,
Analyte,Mass,Meas. Intensity,,
Pb,206,339439.643,,
Pb,207,317544.572,,
Pb,208,776360.769,,
Analyte,Mass,Meas. Intensity,,
Pb,206,343958.804,,
Pb,207,319750.557,,
Pb,208,782984.927,,
Analyte,Mass,Meas. Intensity,,
Pb,206,348862.177,,
Pb,207,324605.746,,
Pb,208,790199.944,,
Analyte,Mass,Meas. Intensity,,
Pb,206,354678.047,,
